,feature,importance
5,Total eve minutes,0.067786865
3,Total intl minutes,0.07550949
4,Total intl calls,0.0767823
6,Number vmail messages,0.08531992
0,Total day minutes,0.10681381
7,Voice mail plan,0.1424556
1,Customer service calls,0.17365123
2,International plan,0.27168074
